"Date","FLUXNET site ID","Koppen (climate)","IGBP (vegetation)","Evapotranspiration (mm)","Air temperature (°C)","Shortwave radiation (W/m2)","Longwave radiation (W/m2)","Atmospheric pressure(kPa)","2-m wind speed (m/s)","Relative humidity (%)","Specific humidity (kg/kg)"
2014-01-19,"AU-Rig","Temperate","Grassland",0.524960525614366,22.35,383.395833333333,331.729166666667,98.5939583333333,3.8800642822588,50.7916666666667,0.00869614665025753
2014-01-20,"AU-Rig","Temperate","Grassland",0.272139463070832,23.22875,370.541666666667,340.75,98.4910416666667,3.10420857705379,52.625,0.00951815284811134
2014-01-21,"AU-Rig","Temperate","Grassland",0.350329901467466,20.7852083333333,384.666666666667,315.354166666667,98.7820833333333,3.8696922999733,50.6041666666667,0.00785334726787514
2014-01-22,"AU-Rig","Temperate","Grassland",0.316752162047895,22.8775,383.020833333333,321.5625,99.395625,2.96607263116049,37.7916666666667,0.00661891298270586
2014-01-24,"AU-Rig","Temperate","Grassland",1.24772832758757,20.9570833333333,147.895833333333,373.833333333333,98.670625,2.62392293673628,61.8958333333333,0.00972989544402099
2014-01-25,"AU-Rig","Temperate","Grassland",2.12321530307058,17.90875,375.75,299.541666666667,99.436875,4.02275761430785,45.3125,0.00583290853946193
2014-01-26,"AU-Rig","Temperate","Grassland",1.23088561635464,20.424375,372.208333333333,319.541666666667,99.758125,1.54448245305952,44,0.00660780382128554
2014-01-27,"AU-Rig","Temperate","Grassland",1.17037234801226,24.8497916666667,368.520833333333,348.333333333333,99.6139583333333,2.08932582554195,40.3958333333333,0.00795578711263486
2014-01-28,"AU-Rig","Temperate","Grassland",0.876703113597214,30.1666666666667,359.75,375.104166666667,99.119375,2.63448350051788,27.3333333333333,0.00738476816575632
2014-01-29,"AU-Rig","Temperate","Grassland",0.784716071269708,29.0127083333333,356.4375,374.833333333333,99.0366666666667,2.23940526618825,31.4166666666667,0.00795063936661865
2014-01-30,"AU-Rig","Temperate","Grassland",0.53377479557788,28.67125,352.4375,390.020833333333,99.0633333333333,1.50472318763176,36.5625,0.00907514662372835
2014-01-31,"AU-Rig","Temperate","Grassland",0.462979165223159,31.3016666666667,345.833333333333,398.854166666667,98.795625,1.84794151053387,33.0416666666667,0.00956979287047357
2014-02-01,"AU-Rig","Temperate","Grassland",0.67933845546372,30.51125,358.0625,371.083333333333,98.7002083333333,1.7745518783016,34.5,0.00956008580793268
2014-02-02,"AU-Rig","Temperate","Grassland",0.595392742603094,32.4391666666667,356.583333333333,369.958333333333,98.5933333333333,1.40666080965972,15.5208333333333,0.00479094033525066
2014-02-03,"AU-Rig","Temperate","Grassland",0.612060587331089,28.870625,310.541666666667,385.333333333333,98.5922916666667,3.8700066024668,33.8541666666667,0.00853855891919818
2014-02-04,"AU-Rig","Temperate","Grassland",0.535781246580744,22.7516666666667,368.375,318.166666666667,99.2610416666667,3.54423206795394,28.5416666666667,0.00496257833190426
2014-02-05,"AU-Rig","Temperate","Grassland",0.308350212506915,22.4852083333333,343.229166666667,341.1875,99.523125,1.43997687397073,39.3333333333333,0.00671853837944479
2014-02-06,"AU-Rig","Temperate","Grassland",0.342391073459255,25.3583333333333,343.104166666667,354.541666666667,99.199375,2.34501090400429,32.5833333333333,0.00663709255801222
2014-02-07,"AU-Rig","Temperate","Grassland",0.370290825193577,29.0254166666667,332.541666666667,376.75,98.89875,2.42280077114556,28.3958333333333,0.00719819848288927
2014-02-08,"AU-Rig","Temperate","Grassland",0.489730123226007,32.2472916666667,345.354166666667,379.916666666667,98.8641666666667,2.10299798400921,20.1041666666667,0.00612688663340903
2014-02-10,"AU-Rig","Temperate","Grassland",0.354242322308232,23.2129166666667,356.375,313.3125,99.2054166666667,2.90604085490197,31.0625,0.00555906930768359
2014-02-15,"AU-Rig","Temperate","Grassland",1.67341603569022,21.8972916666667,141.9375,414.854166666667,97.5672916666667,1.55331435312687,84.1875,0.0142162663293265
2014-02-16,"AU-Rig","Temperate","Grassland",3.22702984358544,21.0575,328.666666666667,337.625,98.3583333333333,4.12066284103313,56.8958333333333,0.009024031700878
2014-02-17,"AU-Rig","Temperate","Grassland",1.44319928438298,20.895,314.291666666667,326.979166666667,98.8791666666667,1.25736712524717,50.375,0.0078631323533749
2014-02-18,"AU-Rig","Temperate","Grassland",1.22936485746728,23.918125,326.520833333333,348.625,98.4139583333333,1.6606172244078,44.25,0.0083438295616932
2014-02-19,"AU-Rig","Temperate","Grassland",1.43795925242934,17.983125,155.916666666667,350.5625,97.8375,1.72768937652073,58.7708333333333,0.00773399894154931
2014-02-20,"AU-Rig","Temperate","Grassland",2.88423847013521,15.72375,291.036458333333,314.791666666667,98.8847916666667,2.30273721862852,55.4583333333333,0.00625041785361372
2014-02-21,"AU-Rig","Temperate","Grassland",1.59819427872991,15.8579166666667,290.083333333333,300.395833333333,99.6860416666667,3.05234866562627,53.9583333333333,0.00608388646687992
2014-02-22,"AU-Rig","Temperate","Grassland",1.15782059145181,18.3675,331.916666666667,303.104166666667,99.795625,3.82254692594828,47.8958333333333,0.00632488778878547
2014-02-23,"AU-Rig","Temperate","Grassland",0.968097181038663,21.9216666666667,314.859375,330.833333333333,99.71625,1.49026527293075,40.1458333333333,0.00661254651471798
2014-02-24,"AU-Rig","Temperate","Grassland",0.823660150077099,23.4814583333333,301.630208333333,349.770833333333,99.44375,1.14500398382089,45.5625,0.00828120862271091
2014-02-25,"AU-Rig","Temperate","Grassland",0.951793569319849,24.2060416666667,207.25,373.958333333333,98.8070833333333,2.21143234426674,47.4791666666667,0.00907677286079198
2014-02-26,"AU-Rig","Temperate","Grassland",1.47180491967793,20.0352083333333,295.083333333333,331.0625,98.8460416666667,2.74810385191817,57.5833333333333,0.00852982233813277
2014-02-27,"AU-Rig","Temperate","Grassland",0.708141023686641,19.1360416666667,324.6875,299.375,99.5120833333333,3.92909547124482,41.3541666666667,0.00574431639636706
2014-02-28,"AU-Rig","Temperate","Grassland",0.467842493735554,21.3822916666667,253.958333333333,356.791666666667,99.7458333333333,1.98262012899866,50.5208333333333,0.00805588912254485
2014-03-01,"AU-Rig","Temperate","Grassland",0.438485755798131,22.7066666666667,235.958333333333,373.229166666667,99.7610416666667,1.64505925097955,55.7291666666667,0.00964210602086799
2014-03-02,"AU-Rig","Temperate","Grassland",0.525338281727172,21.9679166666667,302.9375,341.458333333333,99.751875,1.78005217193785,53.8958333333333,0.00891166663204444
2014-03-03,"AU-Rig","Temperate","Grassland",0.477089271896298,22.4372916666667,286.895833333333,346.104166666667,99.97875,1.23599455568917,48.4166666666667,0.00821585745506734
2014-03-04,"AU-Rig","Temperate","Grassland",0.381472712185937,24.1702083333333,242.479166666667,376.541666666667,99.8329166666667,1.94804685471365,52.0416666666667,0.0098300829462331
2014-03-05,"AU-Rig","Temperate","Grassland",2.37999917462502,21.8608333333333,188.166666666667,364.041666666667,99.3770833333333,2.18204506112448,67.5625,0.0111555898555962
2014-03-06,"AU-Rig","Temperate","Grassland",2.0208829453086,19.589375,298.125,319.625,99.4433333333333,2.47481783381983,50.875,0.00728093877967333
